Run,Epochs,Total Time,Test Accuracy,Epsilon,Noise Multiplier
0,100,86.96903515,0.889260113,0.50003816,14.17402344
1,100,81.56207299,0.889161825,0.50003816,14.17402344
2,100,73.44400644,0.891274452,0.50003816,14.17402344
3,100,74.14981484,0.890340984,0.50003816,14.17402344
4,100,74.59232378,0.886214018,0.50003816,14.17402344
5,100,74.82385445,0.888326645,0.50003816,14.17402344
6,100,73.05276871,0.887540519,0.50003816,14.17402344
7,100,73.65225911,0.889063597,0.50003816,14.17402344
8,100,74.66056252,0.888080955,0.50003816,14.17402344
9,100,74.94298768,0.892846644,0.50003816,14.17402344
10,100,74.17747808,0.88970226,0.50003816,14.17402344
11,100,73.06932116,0.885427952,0.50003816,14.17402344
12,100,73.81803656,0.887982726,0.50003816,14.17402344
13,100,73.32805991,0.890095294,0.50003816,14.17402344
14,100,73.56232405,0.892993987,0.50003816,14.17402344
15,100,73.73823667,0.887245774,0.50003816,14.17402344
16,100,73.6747036,0.890242696,0.50003816,14.17402344
17,100,74.0202198,0.889604032,0.50003816,14.17402344
18,100,73.61084747,0.889505744,0.50003816,14.17402344
19,100,73.64101171,0.887737036,0.50003816,14.17402344
20,100,73.26463556,0.889997065,0.50003816,14.17402344
21,100,72.63936472,0.886901855,0.50003816,14.17402344
22,100,74.22675538,0.890439212,0.50003816,14.17402344
23,100,72.98517394,0.886901855,0.50003816,14.17402344
24,100,73.03445935,0.889309227,0.50003816,14.17402344
25,100,73.17980433,0.887638807,0.50003816,14.17402344
26,100,72.69417667,0.889358342,0.50003816,14.17402344
27,100,72.24801707,0.887245774,0.50003816,14.17402344
28,100,72.71371269,0.890193582,0.50003816,14.17402344
29,100,72.41990733,0.893141389,0.50003816,14.17402344
30,100,73.49107671,0.886508822,0.50003816,14.17402344
31,100,73.13923812,0.890488327,0.50003816,14.17402344
32,100,72.44478989,0.887835324,0.50003816,14.17402344
33,100,73.2057271,0.890979648,0.50003816,14.17402344
34,100,73.20867443,0.888670504,0.50003816,14.17402344
35,100,73.13859797,0.886901855,0.50003816,14.17402344
36,100,73.05197644,0.891814888,0.50003816,14.17402344
37,100,73.26201797,0.886901855,0.50003816,14.17402344
38,100,72.24916959,0.888326645,0.50003816,14.17402344
39,100,73.69201255,0.88611573,0.50003816,14.17402344
40,100,72.86495638,0.88636142,0.50003816,14.17402344
41,100,73.6005466,0.887933552,0.50003816,14.17402344
42,100,72.9113543,0.888768792,0.50003816,14.17402344
43,100,72.93054795,0.893485308,0.50003816,14.17402344
44,100,72.88939786,0.890635729,0.50003816,14.17402344
45,100,73.4177916,0.884838343,0.50003816,14.17402344
46,100,72.8826437,0.888130069,0.50003816,14.17402344
47,100,73.08252811,0.886410534,0.50003816,14.17402344
48,100,73.56814671,0.890193582,0.50003816,14.17402344
49,100,72.82342267,0.887245774,0.50003816,14.17402344
50,100,72.879282,0.888130069,0.50003816,14.17402344
51,100,72.77160645,0.88945663,0.50003816,14.17402344
52,100,73.12800264,0.882824004,0.50003816,14.17402344
53,100,72.64351249,0.891520083,0.50003816,14.17402344
54,100,73.09341264,0.887245774,0.50003816,14.17402344
55,100,72.48899555,0.890242696,0.50003816,14.17402344
56,100,74.13812923,0.889997065,0.50003816,14.17402344
57,100,72.04097962,0.886459649,0.50003816,14.17402344
58,100,73.16576338,0.888768792,0.50003816,14.17402344
59,100,73.16434765,0.889112711,0.50003816,14.17402344
60,100,73.48076582,0.888768792,0.50003816,14.17402344
61,100,72.92307281,0.88803184,0.50003816,14.17402344
62,100,73.46798635,0.889898777,0.50003816,14.17402344
63,100,72.57976508,0.888326645,0.50003816,14.17402344
64,100,73.17853284,0.889604032,0.50003816,14.17402344
65,100,73.10132337,0.88970226,0.50003816,14.17402344
66,100,73.02576542,0.894074857,0.50003816,14.17402344
67,100,72.31936407,0.889997065,0.50003816,14.17402344
68,100,72.78924441,0.886803567,0.50003816,14.17402344
69,100,71.68941784,0.889898777,0.50003816,14.17402344
70,100,72.36575174,0.888572276,0.50003816,14.17402344
71,100,72.70974183,0.887933552,0.50003816,14.17402344
72,100,73.39133286,0.88636142,0.50003816,14.17402344
73,100,72.67613149,0.887147486,0.50003816,14.17402344
74,100,72.48162365,0.887245774,0.50003816,14.17402344
75,100,75.05091691,0.886803567,0.50003816,14.17402344
76,100,73.42276692,0.886754453,0.50003816,14.17402344
77,100,73.09837723,0.889849663,0.50003816,14.17402344
78,100,73.52671957,0.88636142,0.50003816,14.17402344
79,100,73.55315518,0.888179243,0.50003816,14.17402344
80,100,73.76707983,0.886459649,0.50003816,14.17402344
81,100,73.11373854,0.891470969,0.50003816,14.17402344
82,100,74.52636361,0.884887516,0.50003816,14.17402344
83,100,72.63683605,0.886607051,0.50003816,14.17402344
84,100,72.72821927,0.887442291,0.50003816,14.17402344
85,100,73.10403037,0.888523161,0.50003816,14.17402344
86,100,72.74354887,0.890979648,0.50003816,14.17402344
87,100,73.03865933,0.887344003,0.50003816,14.17402344
88,100,72.9338119,0.882922292,0.50003816,14.17402344
89,100,72.11048293,0.889014423,0.50003816,14.17402344
90,100,70.743011,0.887442291,0.50003816,14.17402344
91,100,70.99813056,0.886557937,0.50003816,14.17402344
92,100,72.99823093,0.889604032,0.50003816,14.17402344
93,100,74.02151108,0.888179243,0.50003816,14.17402344
94,100,72.44993782,0.888965309,0.50003816,14.17402344
95,100,73.76504612,0.888965309,0.50003816,14.17402344
96,100,73.44230247,0.885820985,0.50003816,14.17402344
97,100,72.46572804,0.885919213,0.50003816,14.17402344
98,100,73.41570377,0.886164904,0.50003816,14.17402344
99,100,72.54674911,0.891028762,0.50003816,14.17402344
