Run,PCA Components,Total Time (s),Test Race Acc,Test Readmission Acc,Epsilon
1,36,34.03790438,0.810307562,0.888523161,0.500460305
2,36,31.184214,0.809226692,0.890734017,0.500460305
3,36,27.81494176,0.809521496,0.891421854,0.500460305
4,36,28.74472439,0.812125385,0.888228357,0.500460305
5,36,27.92509305,0.808833659,0.885820985,0.500460305
6,36,27.46182072,0.809619725,0.88945663,0.500460305
7,36,29.44912851,0.808882773,0.887737036,0.500460305
8,36,28.96157539,0.812862337,0.888965309,0.500460305
9,36,29.32521188,0.810061932,0.888719678,0.500460305
10,36,29.48709595,0.814041495,0.889554858,0.500460305
