run,target_epsilon,actual_epsilon,noise_multiplier,test_accuracy,train_time,
1,0.2,0.2,43.32118345,0.85589999,109.8036637,0.856339997
2,0.2,0.2,43.32118345,0.856999993,90.8410337,
3,0.2,0.2,43.32118345,0.857500017,86.04726195,
4,0.2,0.2,43.32118345,0.858900011,84.89794326,
5,0.2,0.2,43.32118345,0.852699995,83.69440365,
6,0.2,0.2,43.32118345,0.85589999,83.53700876,
7,0.2,0.2,43.32118345,0.856000006,83.33029366,
8,0.2,0.2,43.32118345,0.856999993,83.30164003,
9,0.2,0.2,43.32118345,0.855499983,83.08840752,
10,0.2,0.2,43.32118345,0.856999993,82.97043705,
1,0.3,0.3,15.35563092,0.858500004,81.78029418,0.855589998
2,0.3,0.3,15.35563092,0.854200006,82.5328815,
3,0.3,0.3,15.35563092,0.85799998,82.60132146,
4,0.3,0.3,15.35563092,0.856400013,82.73753119,
5,0.3,0.3,15.35563092,0.855099976,83.00927114,
6,0.3,0.3,15.35563092,0.854399979,82.90872216,
7,0.3,0.3,15.35563092,0.856100023,82.11621189,
8,0.3,0.3,15.35563092,0.853200018,82.62422705,
9,0.3,0.3,15.35563092,0.854399979,82.05717707,
10,0.3,0.3,15.35563092,0.855599999,82.42052746,
1,0.5,0.5,9.003161058,0.857200027,82.63931012,0.856379998
2,0.5,0.5,9.003161058,0.856899977,82.36137319,
3,0.5,0.5,9.003161058,0.8574,82.14739299,
4,0.5,0.5,9.003161058,0.856299996,82.27110219,
5,0.5,0.5,9.003161058,0.855099976,82.18413711,
6,0.5,0.5,9.003161058,0.855799973,81.9110496,
7,0.5,0.5,9.003161058,0.857200027,82.70754313,
8,0.5,0.5,9.003161058,0.857200027,82.53546309,
9,0.5,0.5,9.003161058,0.854900002,81.94912839,
10,0.5,0.5,9.003161058,0.855799973,82.18755579,
1,0.7,0.699999996,6.482310044,0.855000019,82.78450727,0.856120014
2,0.7,0.699999996,6.482310044,0.856400013,82.11973119,
3,0.7,0.699999996,6.482310044,0.857800007,82.47227263,
4,0.7,0.699999996,6.482310044,0.857200027,82.29295993,
5,0.7,0.699999996,6.482310044,0.856599987,82.25338078,
6,0.7,0.699999996,6.482310044,0.85710001,82.02386665,
7,0.7,0.699999996,6.482310044,0.855300009,82.77046299,
8,0.7,0.699999996,6.482310044,0.85650003,82.21793175,
9,0.7,0.699999996,6.482310044,0.854700029,82.96643782,
10,0.7,0.699999996,6.482310044,0.854600012,82.72703958,
1,1,0.999999996,4.599557114,0.853699982,82.0433836,0.856590009
2,1,0.999999996,4.599557114,0.861800015,81.85744286,
3,1,0.999999996,4.599557114,0.859399974,81.626266,
4,1,0.999999996,4.599557114,0.854700029,82.58524418,
5,1,0.999999996,4.599557114,0.855400026,82.75567198,
6,1,0.999999996,4.599557114,0.853600025,82.9070003,
7,1,0.999999996,4.599557114,0.85710001,82.61247849,
8,1,0.999999996,4.599557114,0.855000019,82.71761036,
9,1,0.999999996,4.599557114,0.858200014,82.56229281,
10,1,0.999999996,4.599557114,0.856999993,83.07978845,
1,1.5,1.499999994,3.146826295,0.859000027,82.875844,0.857630002
2,1.5,1.499999994,3.146826295,0.85769999,82.77589202,
3,1.5,1.499999994,3.146826295,0.85710001,82.14029527,
4,1.5,1.499999994,3.146826295,0.854799986,82.64112973,
5,1.5,1.499999994,3.146826295,0.85860002,82.64054799,
6,1.5,1.499999994,3.146826295,0.860499978,82.33046007,
7,1.5,1.499999994,3.146826295,0.856000006,82.51010728,
8,1.5,1.499999994,3.146826295,0.858799994,82.3983233,
9,1.5,1.499999994,3.146826295,0.857900023,82.27925277,
10,1.5,1.499999994,3.146826295,0.85589999,81.96253395,
1,2,1.999999968,2.430428703,0.857500017,83.03264022,0.856639999
2,2,1.999999968,2.430428703,0.852800012,82.64556932,
3,2,1.999999968,2.430428703,0.856999993,82.62362456,
4,2,1.999999968,2.430428703,0.853999972,82.09988379,
5,2,1.999999968,2.430428703,0.860599995,82.29360723,
6,2,1.999999968,2.430428703,0.85680002,81.98217487,
7,2,1.999999968,2.430428703,0.856999993,82.96804905,
8,2,1.999999968,2.430428703,0.859099984,82.35645175,
9,2,1.999999968,2.430428703,0.855700016,82.18207479,
10,2,1.999999968,2.430428703,0.85589999,82.74940848,
1,4,4.000000146,1.393687579,0.854200006,82.31380248,0.855229998
2,4,4.000000146,1.393687579,0.856400013,82.09884596,
3,4,4.000000146,1.393687579,0.860199988,82.3077116,
4,4,4.000000146,1.393687579,0.853399992,83.54783654,
5,4,4.000000146,1.393687579,0.85799998,83.17956781,
6,4,4.000000146,1.393687579,0.860099971,82.71936536,
7,4,4.000000146,1.393687579,0.851499975,82.45832133,
8,4,4.000000146,1.393687579,0.852400005,81.79889321,
9,4,4.000000146,1.393687579,0.854300022,82.58473229,
10,4,4.000000146,1.393687579,0.851800025,82.09982872,
1,6,6.000000061,1.071489715,0.856299996,83.04751539,0.856720001
2,6,6.000000061,1.071489715,0.85619998,82.93397999,
3,6,6.000000061,1.071489715,0.859099984,82.81695199,
4,6,6.000000061,1.071489715,0.856599987,83.4957478,
5,6,6.000000061,1.071489715,0.860800028,82.27246332,
6,6,6.000000061,1.071489715,0.85650003,82.92865777,
7,6,6.000000061,1.071489715,0.854799986,82.90441942,
8,6,6.000000061,1.071489715,0.854499996,82.50140333,
9,6,6.000000061,1.071489715,0.85710001,83.07092786,
10,6,6.000000061,1.071489715,0.855300009,82.50219011,
1,8,8.000000099,0.917964107,0.855400026,83.39125228,0.856120008
2,8,8.000000099,0.917964107,0.85680002,83.41868424,
3,8,8.000000099,0.917964107,0.853200018,83.87475038,
4,8,8.000000099,0.917964107,0.856100023,83.36787033,
5,8,8.000000099,0.917964107,0.856599987,83.55265117,
6,8,8.000000099,0.917964107,0.860400021,83.20320702,
7,8,8.000000099,0.917964107,0.85710001,83.74654317,
8,8,8.000000099,0.917964107,0.858900011,83.66605663,
9,8,8.000000099,0.917964107,0.853699982,82.8870945,
10,8,8.000000099,0.917964107,0.852999985,83.54810715,
