run,target_epsilon,actual_epsilon,noise_multiplier,test_accuracy,train_time
1,0.2,0.2,30.63680088,0.831799984,125.3097086
2,0.2,0.2,30.63680088,0.751600027,121.5262423
3,0.2,0.2,30.63680088,0.842100024,114.2197025
4,0.2,0.2,30.63680088,0.791100025,115.4720538
5,0.2,0.2,30.63680088,0.826499999,115.283036
6,0.2,0.2,30.63680088,0.796700001,113.2112885
7,0.2,0.2,30.63680088,0.824800014,115.682276
8,0.2,0.2,30.63680088,0.820299983,111.4393163
9,0.2,0.2,30.63680088,0.821500003,112.8815174
10,0.2,0.2,30.63680088,0.707499981,114.4968948
1,0.3,0.3,10.86962117,0.829699993,113.8281264
2,0.3,0.3,10.86962117,0.783800006,114.4198344
3,0.3,0.3,10.86962117,0.762799978,114.7183592
4,0.3,0.3,10.86962117,0.805000007,113.6783862
5,0.3,0.3,10.86962117,0.829900026,112.5887125
6,0.3,0.3,10.86962117,0.841899991,111.8740773
7,0.3,0.3,10.86962117,0.808700025,111.4977367
8,0.3,0.3,10.86962117,0.833199978,111.4052591
9,0.3,0.3,10.86962117,0.730400026,111.8247113
10,0.3,0.3,10.86962117,0.804199994,111.8126602
1,0.5,0.500000001,6.38580911,0.841899991,111.7473409
2,0.5,0.500000001,6.38580911,0.804199994,112.4391854
3,0.5,0.500000001,6.38580911,0.838199973,111.8585548
4,0.5,0.500000001,6.38580911,0.801100016,112.4484644
5,0.5,0.500000001,6.38580911,0.841300011,112.5188522
6,0.5,0.500000001,6.38580911,0.74849999,112.3349547
7,0.5,0.500000001,6.38580911,0.820599973,112.5228851
8,0.5,0.500000001,6.38580911,0.819100022,112.6448174
9,0.5,0.500000001,6.38580911,0.740499973,112.5271358
10,0.5,0.500000001,6.38580911,0.833100021,112.2736423
1,0.7,0.700000004,4.61074255,0.730099976,112.4018719
2,0.7,0.700000004,4.61074255,0.843999982,112.3543024
3,0.7,0.700000004,4.61074255,0.811500013,112.5423465
4,0.7,0.700000004,4.61074255,0.805400014,112.4116135
5,0.7,0.700000004,4.61074255,0.845399976,111.454674
6,0.7,0.700000004,4.61074255,0.832199991,111.5375636
7,0.7,0.700000004,4.61074255,0.82889998,111.651098
8,0.7,0.700000004,4.61074255,0.838699996,111.3031874
9,0.7,0.700000004,4.61074255,0.806500018,110.9402857
10,0.7,0.700000004,4.61074255,0.842199981,112.2599788
1,1,1.000000009,3.290013017,0.838800013,111.2942584
2,1,1.000000009,3.290013017,0.781400025,112.2665758
3,1,1.000000009,3.290013017,0.841199994,112.3157277
