run,target_epsilon,actual_epsilon,noise_multiplier,test_accuracy,train_time,
1,0.2,0.2,33.82049126,0.838699996,105.6810012,0.844980001
2,0.2,0.2,33.82049126,0.842700005,104.6096203,
3,0.2,0.2,33.82049126,0.856400013,104.187649,
4,0.2,0.2,33.82049126,0.875400007,104.1223469,
5,0.2,0.2,33.82049126,0.873899996,105.9750164,
6,0.2,0.2,33.82049126,0.871900022,104.418844,
7,0.2,0.2,33.82049126,0.854499996,103.831269,
8,0.2,0.2,33.82049126,0.879599988,99.25779653,
9,0.2,0.2,33.82049126,0.879700005,99.65094924,
10,0.2,0.2,33.82049126,0.676999986,100.2866187,
1,0.3,0.299999999,11.99517109,0.870199978,98.63196802,0.853860003
2,0.3,0.299999999,11.99517109,0.871200025,100.2082081,
3,0.3,0.299999999,11.99517109,0.859700024,98.71459031,
4,0.3,0.299999999,11.99517109,0.848300021,99.56747437,
5,0.3,0.299999999,11.99517109,0.867299974,99.24419594,
6,0.3,0.299999999,11.99517109,0.880100012,99.7006321,
7,0.3,0.299999999,11.99517109,0.85559999,100.0126479,
8,0.3,0.299999999,11.99517109,0.772200012,99.0705657,
9,0.3,0.299999999,11.99517109,0.830699992,99.06207275,
10,0.3,0.299999999,11.99517109,0.883300006,100.120857,
1,0.5,0.500000002,7.041997591,0.819199979,99.73500538,0.866730005
2,0.5,0.500000002,7.041997591,0.873399973,98.99629688,
3,0.5,0.500000002,7.041997591,0.867500007,99.25355864,
4,0.5,0.500000002,7.041997591,0.868700027,99.66718578,
5,0.5,0.500000002,7.041997591,0.884000003,98.58478165,
6,0.5,0.500000002,7.041997591,0.878400028,99.06375146,
7,0.5,0.500000002,7.041997591,0.871200025,98.30101371,
8,0.5,0.500000002,7.041997591,0.873700023,98.34073114,
9,0.5,0.500000002,7.041997591,0.860599995,99.36597228,
10,0.5,0.500000002,7.041997591,0.870599985,98.3237772,
1,0.7,0.700000003,5.079455707,0.874000013,98.70343661,0.861750001
2,0.7,0.700000003,5.079455707,0.879599988,98.31634855,
3,0.7,0.700000003,5.079455707,0.875999987,99.14719081,
4,0.7,0.700000003,5.079455707,0.878000021,98.60558295,
5,0.7,0.700000003,5.079455707,0.768899977,99.29614902,
6,0.7,0.700000003,5.079455707,0.872699976,99.00994778,
7,0.7,0.700000003,5.079455707,0.870700002,99.10664868,
8,0.7,0.700000003,5.079455707,0.870999992,98.79406357,
9,0.7,0.700000003,5.079455707,0.873700023,99.45067549,
10,0.7,0.700000003,5.079455707,0.852900028,98.67182922,
1,1,0.999999992,3.617296215,0.877799988,98.34632492,0.862149997
2,1,0.999999992,3.617296215,0.858099997,99.32931542,
3,1,0.999999992,3.617296215,0.871800005,99.37851238,
4,1,0.999999992,3.617296215,0.863300025,98.46896744,
5,1,0.999999992,3.617296215,0.813699973,97.30877447,
6,1,0.999999992,3.617296215,0.852699995,98.54428768,
7,1,0.999999992,3.617296215,0.852299988,97.96301532,
8,1,0.999999992,3.617296215,0.871999979,98.39013314,
9,1,0.999999992,3.617296215,0.881500006,98.53612638,
10,1,0.999999992,3.617296215,0.878300011,98.67034554,
1,1.5,1.499999982,2.494691792,0.866699994,98.62518597,0.860900002
2,1.5,1.499999982,2.494691792,0.83950001,99.54443026,
3,1.5,1.499999982,2.494691792,0.879800022,98.72838092,
4,1.5,1.499999982,2.494691792,0.846300006,97.09510684,
5,1.5,1.499999982,2.494691792,0.869199991,101.3582304,
6,1.5,1.499999982,2.494691792,0.833800006,96.47623348,
7,1.5,1.499999982,2.494691792,0.869700015,102.2262013,
8,1.5,1.499999982,2.494691792,0.875199974,98.67173481,
9,1.5,1.499999982,2.494691792,0.862100005,96.11171961,
10,1.5,1.499999982,2.494691792,0.866699994,100.0443933,
1,2,2.00000001,1.945252619,0.82559998,98.62359428,0.86485
2,2,2.00000001,1.945252619,0.869099975,94.16623831,
3,2,2.00000001,1.945252619,0.880200028,98.78055453,
4,2,2.00000001,1.945252619,0.869300008,99.88128638,
5,2,2.00000001,1.945252619,0.866699994,99.91487575,
6,2,2.00000001,1.945252619,0.867600024,103.2904902,
7,2,2.00000001,1.945252619,0.868799984,102.4510553,
8,2,2.00000001,1.945252619,0.874499977,97.52491975,
9,2,2.00000001,1.945252619,0.865900004,97.39431787,
10,2,2.00000001,1.945252619,0.860800028,99.39416552,
1,4,3.999999823,1.160996341,0.834699988,99.10410023,0.865320003
2,4,3.999999823,1.160996341,0.862900019,92.04218984,
3,4,3.999999823,1.160996341,0.847800016,96.07301164,
4,4,3.999999823,1.160996341,0.877499998,103.8540728,
5,4,3.999999823,1.160996341,0.875400007,103.2282774,
6,4,3.999999823,1.160996341,0.878000021,98.22174215,
7,4,3.999999823,1.160996341,0.882499993,102.6017263,
8,4,3.999999823,1.160996341,0.863099992,99.7762146,
9,4,3.999999823,1.160996341,0.852999985,100.7907815,
10,4,3.999999823,1.160996341,0.878300011,97.15129805,
1,6,5.9999997,0.920925392,0.87379998,97.98249173,0.86543999
2,6,5.9999997,0.920925392,0.843699992,101.1777828,
3,6,5.9999997,0.920925392,0.877699971,100.2687843,
4,6,5.9999997,0.920925392,0.87620002,99.76521444,
5,6,5.9999997,0.920925392,0.894399977,99.57256937,
6,6,5.9999997,0.920925392,0.871900022,98.53748393,
7,6,5.9999997,0.920925392,0.834899974,99.32652998,
8,6,5.9999997,0.920925392,0.892599976,102.7814155,
9,6,5.9999997,0.920925392,0.875,102.6914711,
10,6,5.9999997,0.920925392,0.814199984,100.8410339,
1,8,7.999999218,0.806245441,0.869400024,101.6510541,0.867939997
2,8,7.999999218,0.806245441,0.863900006,98.48108292,
3,8,7.999999218,0.806245441,0.874499977,99.73616982,
4,8,7.999999218,0.806245441,0.879999995,103.8389566,
5,8,7.999999218,0.806245441,0.883300006,101.9012794,
6,8,7.999999218,0.806245441,0.869799972,103.4177094,
7,8,7.999999218,0.806245441,0.874100029,102.2673669,
8,8,7.999999218,0.806245441,0.87349999,98.29141498,
9,8,7.999999218,0.806245441,0.83829999,104.4738426,
10,8,7.999999218,0.806245441,0.852599978,102.1765049,
