Run Number,PCA Components,Noise Multiplier,Epochs,Total Time (s),Test Accuracy,Epsilon
1,60,1.55,400,111.9604663848877,0.9817000031471252,7.990298149066496
2,60,1.55,400,100.69430470466614,0.9818999767303467,7.990298149066496
3,60,1.55,400,100.08154368400574,0.9812999963760376,7.990298149066496
4,60,1.55,400,105.8224937915802,0.9815000295639038,7.990298149066496
5,60,1.55,400,99.82359504699707,0.9811999797821045,7.990298149066496
6,60,1.55,400,96.81852197647095,0.9814000129699707,7.990298149066496
7,60,1.55,400,98.19488739967346,0.98089998960495,7.990298149066496
8,60,1.55,400,99.49711775779724,0.9818000197410583,7.990298149066496
9,60,1.55,400,98.29979372024536,0.9811999797821045,7.990298149066496
10,60,1.55,400,97.64338660240173,0.9812999963760376,7.990298149066496
11,60,1.55,400,97.14595460891724,0.9811999797821045,7.990298149066496
12,60,1.55,400,99.46506929397583,0.9811000227928162,7.990298149066496
13,60,1.55,400,95.33681607246399,0.9811999797821045,7.990298149066496
14,60,1.55,400,108.34951615333557,0.9818999767303467,7.990298149066496
15,60,1.55,400,136.81858825683594,0.9815000295639038,7.990298149066496
16,60,1.55,400,137.24878931045532,0.9818000197410583,7.990298149066496
17,60,1.55,400,134.02971148490906,0.9817000031471252,7.990298149066496
18,60,1.55,400,133.66241550445557,0.9804999828338623,7.990298149066496
19,60,1.55,400,134.64778351783752,0.9815999865531921,7.990298149066496
20,60,1.55,400,137.31122183799744,0.9811999797821045,7.990298149066496
21,60,1.55,400,136.8662600517273,0.9812999963760376,7.990298149066496
22,60,1.55,400,136.5237455368042,0.9819999933242798,7.990298149066496
23,60,1.55,400,135.41504573822021,0.9818000197410583,7.990298149066496
24,60,1.55,400,136.47717881202698,0.9818000197410583,7.990298149066496
25,60,1.55,400,136.31299948692322,0.9815999865531921,7.990298149066496
26,60,1.55,400,132.58994936943054,0.9817000031471252,7.990298149066496
27,60,1.55,400,143.5917284488678,0.9819999933242798,7.990298149066496
28,60,1.55,400,135.60209608078003,0.9814000129699707,7.990298149066496
29,60,1.55,400,136.71871280670166,0.9814000129699707,7.990298149066496
30,60,1.55,400,134.11397051811218,0.9818999767303467,7.990298149066496
